,xlon,ylat,XCO2,SST,SSS,MLD,Chl,dbscan_clusters
325,-73.5,252.5,370.18506,-1.5948794,33.51072,61.677273,1.2984859,0
326,-73.5,253.5,370.18506,-1.5302585,33.520794,61.91819,1.3242891,0
327,-73.5,254.5,370.18506,-1.4613743,33.53272,62.357395,1.341488,0
328,-73.5,255.5,370.18506,-1.4001073,33.54607,62.808514,1.3426409,0
329,-73.5,300.5,370.18506,-1.5940175,34.314114,96.684166,1.1322,-1
330,-73.5,301.5,370.18506,-1.6094403,34.3141,90.31973,1.0955012,-1
331,-73.5,302.5,370.18506,-1.6314458,34.310913,78.2633,1.0778443,0
332,-73.5,303.5,370.18506,-1.6504585,34.302288,67.32302,1.0680643,0
333,-73.5,304.5,370.18506,-1.6650438,34.28907,61.385876,1.0626031,0
334,-73.5,305.5,370.18506,-1.676478,34.273033,58.519802,1.0567834,0
335,-73.5,306.5,370.18506,-1.6851743,34.256634,57.22179,1.0436765,0
336,-73.5,307.5,370.18506,-1.691353,34.24151,56.938267,1.0172089,0
